street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop,Note
10 St Helen Street, Parkside,5063,$440 per week,440,SA,1,1760,985.6,749.4,0.43,P - good outdoor 1 lvl
28 Fuller Street, Parkside,5063,$415 per week,415,SA,1,1660,929.6,805.4,0.46,
4/26 Regent Street, Parkside,5063,$410 per week,410,SA,1,1640,918.4,816.6,0.47,P - No
27 Devitt Avenue, Payneham South,5070,$400 per week,400,SA,0.83,1600,896,839,0.48,
4/7 Tarcoma Avenue, Payneham South,5070,$380,380,SA,0.83,1520,851.2,883.8,0.51,
42 Devitt Avenue, Payneham South,5070,$375 per week,375,SA,0.83,1500,840,895,0.52,
73 Luhrs Road, Payneham South,5070,$370 per week,370,SA,0.83,1480,828.8,906.2,0.52,
2/76 Coorara Avenue, Payneham South,5070,$350 per week,350,SA,0.83,1400,784,951,0.55,
17 Atkinson  St, Piccadilly,5151,$420 Weekly,420,SA,1,1680,940.8,794.2,0.46,
17/Gaylard Crescent, Redwood Park,5097,$445 pw 3 BRM 2 Bath 2ggeSOLARSavings,445,SA,0.83,1780,996.8,738.2,0.43,
24 Gaylard Crescent, Redwood Park,5097,$420 per week,420,SA,0.83,1680,940.8,794.2,0.46,
232 Hancock Rd, Redwood Park,5097,$370-400pw range,370,SA,0.83,1480,828.8,906.2,0.52,
44 Cooinda Avenue, Redwood Park,5097,$365,365,SA,0.83,1460,817.6,917.4,0.53,
14 Ronald Road, Redwood Park,5097,$350,350,SA,0.83,1400,784,951,0.55,
10 Eva Road, Redwood Park,5097,$350.00 Per Week,350,SA,0.83,1400,784,951,0.55,
31  Kingston Ave, Richmond,5033,$315 per week,315,NA,NA,1260,705.6,1029.4,0.59,
27 Lane Street, Richmond,5033,$370 Per Week,370,NA,NA,1480,828.8,906.2,0.52,
171 Marion Road, Richmond,5033,$400 per week,400,NA,NA,1600,896,839,0.48,
34 Shierlaw Street, Richmond,5033,$395 per week,395,NA,NA,1580,884.8,850.2,0.49,
50 Shierlaw Street, Richmond,5033,$450 per week,450,NA,NA,1800,1008,727,0.42,
4a Ashley Avenue, Ridgehaven,5097,$430 per week,430,SA,0.83,1720,963.2,771.8,0.44,
3/1045 Northeast Road, Ridgehaven,5097,$370 per week,370,SA,0.83,1480,828.8,906.2,0.52,
3/3 Claire Street, Ridgehaven,5097,$320 per week,320,SA,0.83,1280,716.8,1018.2,0.59,
