street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop
35 Russell Avenue, Seacombe Gardens,5047,$325 per week,325,NA,NA,1300,728.0000000000001,1006.9999999999999,0.58
13 Osborne Street, Hackney,5069,$435 Per Week,435,SA,0,1740,974.4000000000001,760.5999999999999,0.44
3A Fiscom Avenue, Camden Park,5038,$430 per week,430,SA,0.25,1720,963.2,771.8,0.44
67 Ramsay Avenue, Seacombe Gardens,5047,$410.00 Per Week,410,NA,NA,1640,918.4000000000001,816.5999999999999,0.47
Unit 2/86 Queen Street, Norwood,5067,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
18 Ocean Boulevard, Seacliff Park,5049,$420 p.w.,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
45  Pine Avenue, Glenelg North,5045,$410 - $430 pw,410,NA,NA,1640,918.4000000000001,816.5999999999999,0.47
17 Atkinson  St, Piccadilly,5151,$420 Weekly,420,SA,1,1680,940.8000000000001,794.1999999999999,0.46
3/108 Beulah Road, Norwood,5067,$425 per week,425,NA,NA,1700,952.0000000000001,782.9999999999999,0.45
1/204 Seaview Road, Henley Beach South,5022,$360 Per Week,360,NA,NA,1440,806.4000000000001,928.5999999999999,0.54
56A Brighton Road, Glenelg East,5045,$420 Per Week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
7/281 Henley Beach Road, Brooklyn Park,5032,$320 Per Week,320,SA,0,1280,716.8000000000001,1018.1999999999999,0.59
12 Benny Crescent, South Brighton,5048,$380 per week,380,SA,1,1520,851.2,883.8,0.51
13 West Street, Mylor,5153,$395 p.w.,395,SA,0.33,1580,884.8000000000001,850.1999999999999,0.49
3/3 Claire Street, Ridgehaven,5097,$320 per week,320,SA,0.83,1280,716.8000000000001,1018.1999999999999,0.59
6 Folkstone Street, Modbury Heights,5092,$320,320,SA,1,1280,716.8000000000001,1018.1999999999999,0.59
10 Assyrian Court, Kidman Park,5025,$450 per week,450,SA,0,1800,1008.0000000000001,726.9999999999999,0.42
20 Jirra Place, Modbury North,5092,$410,410,SA,1,1640,918.4000000000001,816.5999999999999,0.47
4 Reddy Close, Littlehampton,5250,$410 per week,410,SA,1,1640,918.4000000000001,816.5999999999999,0.47
1/2 West Street, Hindmarsh,5007,$440 p.w.,440,SA,0.82,1760,985.6000000000001,749.3999999999999,0.43
43 Brenthorpe Road, Seaton,5023,$350 per week,350,SA,1,1400,784.0000000000001,950.9999999999999,0.55
9 Rositano avenue, Seaton,5023,$420 per week,420,SA,1,1680,940.8000000000001,794.1999999999999,0.46
7 Melrose Street, Modbury Heights,5092,$440 per week,440,SA,1,1760,985.6000000000001,749.3999999999999,0.43
308 Cross Road, Clarence Park,5034,$440 per week,440,SA,1,1760,985.6000000000001,749.3999999999999,0.43
2/76 Coorara Avenue, Payneham South,5070,$350 per week,350,SA,0.83,1400,784.0000000000001,950.9999999999999,0.55
29 Hinton Street, Underdale,5032,$445 per week,445,SA,0,1780,996.8000000000001,738.1999999999999,0.43
6  Grace Court, Wynn Vale,5127,$360 per week,360,SA,1,1440,806.4000000000001,928.5999999999999,0.54
25 Flaherty Lane, Mile End,5031,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
